# qdac_Pg_set	qdac_bias_left_set	lockin1_conductance_3_0	lockin2_conductance_3_1	lockin3_conductance_3_2	lockin4_conductance_3_3
# "Plunger"	"DCbias_left"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 81	101
-1.5	-0.000186	0.562786487267204	0.0276766845698281	0.0125710616575645	0.133269076257507
-1.5	-0.00018	0.578275054616829	0.0294243473346483	0.0185934913094522	0.132434435158432
-1.5	-0.000174	0.585043845708118	0.030635438311096	0.0218138435895825	0.131618487483679
-1.5	-0.000168	0.58966541990189	0.0317465101777277	0.0191093898573439	0.132745179132164
-1.5	-0.000162	0.584563045195701	0.032015595929894	0.0137368041289547	0.130566405454898
-1.5	-0.000156	0.578257422201421	0.0313793003624371	0.00714562585440674	0.130840714206973
-1.5	-0.00015	0.565349969176083	0.0321343412767317	0.00323998980841006	0.127618204363528
-1.5	-0.000144	0.557812352287728	0.0313224325424165	0.00467203083620631	0.128149670736505
-1.5	-0.000138	0.545392481473041	0.0302718435795159	0.00317110805904733	0.126190788152555
-1.5	-0.000132	0.537642094281563	0.028930872145108	0.00174459476480057	0.126155457693992
-1.5	-0.000126	0.528984053322534	0.0285234670932797	0.00145899315067181	0.125520121953763
-1.5	-0.00012	0.531347628286066	0.0298852539674916	0.00485013655211186	0.124443505490281
-1.5	-0.000114	0.544288727282191	0.0300927547893766	0.0113576257997843	0.125847185757436
-1.5	-0.000108	0.568536579784815	0.0291449741848132	0.0176076156079167	0.124368108321177
-1.5	-0.000102	0.585652229669783	0.0293052519637667	0.0211534224046658	0.12490084352779
-1.5	-9.6e-05	0.592920372510234	0.0274812704837051	0.0208915640831407	0.122253356059775
-1.5	-9e-05	0.57550427150115	0.0267275093398296	0.0175394486027094	0.121622570622721
-1.5	-8.4e-05	0.548227318833726	0.0252932649445959	0.0110523707626781	0.119354726995607
-1.5	-7.8e-05	0.509984010149911	0.0222421105648927	0.00579895150365763	0.117992830739469
-1.5	-7.2e-05	0.480194766437348	0.0183012288302698	0.00318812519935696	0.11663259709519
-1.5	-6.6e-05	0.463048927037315	0.0155096494181515	0.00660459127027939	0.11567852154267
-1.5	-6e-05	0.474422009926315	0.0132366265420203	0.00420652707379598	0.116381575817746
-1.5	-5.4e-05	0.495911898909809	0.0120208909227761	0.00149227320652248	0.114828282537657
-1.5	-4.8e-05	0.514488326570845	0.00972778273484113	0.000617568859632091	0.116795576616654
-1.5	-4.2e-05	0.522335582702723	0.00910615190638329	0.00420482925658129	0.114864247416561
-1.5	-3.6e-05	0.517933691770498	0.00835288298352591	0.0114210189540603	0.115837957078911
-1.5	-3e-05	0.493692971008943	0.0100999044958038	0.0181672260290342	0.115299435550534
-1.5	-2.4e-05	0.473441245101519	0.012402716938278	0.0219368521095719	0.112915723328766
-1.5	-1.8e-05	0.456425570569837	0.0124984564685929	0.0225438961344167	0.111768095921768
-1.5	-1.2e-05	0.464265038659691	0.0105728493258563	0.0226755390141288	0.110448672785601
