# qdac_Pg_set	qdac_bias_left_set	dmm1_curr_3_4	dmm2_curr_3_5	lockin1_conductance_3_0	lockin2_conductance_3_1	lockin3_conductance_3_2	lockin4_conductance_3_3
# "Plunger"	"DCbias_left"	"current_right"	"current_left"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 21	81
-1.515	3.5e-05	1.11398865e-10	-1.00046446e-10	0.045797789582246	-0.00118828546518438	0.00664482957415955	0.0536188677904921
-1.515	4e-05	1.09255381e-10	-1.11168542e-10	0.0456953722655879	-0.00152158969478845	0.00705048655899894	0.0532190921503513
-1.515	4.5e-05	1.20230403e-10	-1.22496476e-10	0.0495214477810995	-0.00126286594338758	0.00679204574875835	0.0536044785588353
-1.515	5e-05	1.13720243e-10	-1.33808066e-10	0.0528307524251543	-0.00166536614006047	0.00661590276005197	0.0541923314699475
-1.515	5.5e-05	1.09075246e-10	-1.45891971e-10	0.0563677689914087	-0.00155050505790073	0.00687437980331997	0.0545052904359126
-1.515	6e-05	1.08672495e-10	-1.58802397e-10	0.0581404556754026	-0.00143934690599196	0.00683331019444956	0.0552207650632702
-1.515	6.5e-05	1.13350918e-10	-1.71560268e-10	0.058774008485063	-0.00146043648336246	0.00686569895616114	0.0556529725338744
-1.515	7e-05	1.18913812e-10	-1.8588807e-10	0.0578279068951853	-0.0016216041902967	0.00618219538619864	0.0563183172852653
-1.515	7.5e-05	1.23640802e-10	-1.99315071e-10	0.0588070692627783	-0.00154884364438929	0.00526501104074308	0.0572257577244699
-1.515	8e-05	1.24536338e-10	-2.1463774e-10	0.0625192341238778	-0.00139433534972049	0.00458730507086661	0.0578525069576321
-1.515	8.5e-05	1.22111324e-10	-2.30821506e-10	0.0700662360172296	-0.00176349430485434	0.00383044294185855	0.0583125467376509
-1.515	9e-05	1.14352934e-10	-2.46727494e-10	0.0771337062177066	-0.00173571856785386	0.00411396133714755	0.0591205204474126
-1.515	9.5e-05	1.08590195e-10	-2.64441701e-10	0.083242867773834	-0.00155002753609782	0.00485276343473657	0.059863925826979
-1.515	0.0001	1.05406759e-10	-2.81434971e-10	0.0853388937958645	-0.00148983979376161	0.00565896139260216	0.0601879542739712
-1.515	0.000105	1.16476942e-10	-3.00887366e-10	0.0857967459303067	-0.000900406735216134	0.00596131096424088	0.0609323058097856
-1.515	0.00011	1.14243075e-10	-3.20393427e-10	0.0839907468873479	-0.00108886035186947	0.00532212838972216	0.0615506763629498
-1.515	0.000115	1.06292469e-10	-3.38744075e-10	0.0849187129016675	-0.00120468433948156	0.00508518939099169	0.0626403257207902
-1.515	0.00012	1.0443619e-10	-3.60105181e-10	0.0872721535918926	-0.00148858890542344	0.0055663088337266	0.0635915081136027
-1.515	0.000125	1.07224334e-10	-3.81669509e-10	0.0931821519861487	-0.0018338209252687	0.00552104339114214	0.0643779116492072
-1.515	0.00013	1.11953387e-10	-4.07064558e-10	0.0995210271612471	-0.0022485169841097	0.00491916289133994	0.0647395839874395
-1.515	0.000135	1.18466281e-10	-4.35572216e-10	0.110679852126146	-0.00266992227545852	0.0043555829208092	0.0651064246369665
-1.515	0.00014	1.20912906e-10	-4.65754841e-10	0.123749967468649	-0.00311054995530059	0.00292314298981617	0.0656453836953979
-1.515	0.000145	1.19307974e-10	-4.99110077e-10	0.142373068547579	-0.00379760981483742	0.00183949410293182	0.0667429577933085
-1.515	0.00015	1.13945632e-10	-5.36648071e-10	0.160861782619554	-0.00445460391807965	0.00129323609013884	0.068039262996125
-1.515	0.000155	1.03887734e-10	-5.80236011e-10	0.182527558220025	-0.00493388232106733	0.00172879142548295	0.0686133392153083
-1.515	0.00016	9.83451189e-11	-6.27067693e-10	0.201435403118764	-0.00607921406860035	0.00427741393626545	0.0698063875929493
-1.515	0.000165	9.61546439e-11	-6.80689556e-10	0.222364773801755	-0.00694040565132642	0.0063387958723795	0.0708123814227457
-1.515	0.00017	1.05405991e-10	-7.34051157e-10	0.241222335683722	-0.0081510809750441	0.00442832005211128	0.0727819779952878
-1.515	0.000175	9.74661383e-11	-7.93781533e-10	0.259864239582996	-0.00933815366460687	0.00371120195602305	0.0736758987922048
