# i3d_field_set	qdac_bias_right_set	dmm1_curr_7_4	dmm2_curr_7_5	lockin1_conductance_7_0	lockin2_conductance_7_1	lockin3_conductance_7_2	lockin4_conductance_7_3
# "field"	"DCbias_right"	"current_right"	"current_left"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 66	161
1.2	0.00031	-4.00694122e-10	-8.63974676e-10	0.427591714995261	-0.00640694100120146	-0.000195410433232655	0.0372905320401459
1.2	0.000305	-3.93187614e-10	-8.64218441e-10	0.430043277014414	-0.00520523672899206	-0.000789941793204355	0.0379631589147855
1.2	0.0003	-3.83624625e-10	-8.63925816e-10	0.42619564773227	-0.00456831187222705	0.000486240411100161	0.0374396418948083
1.2	0.000295	-3.74574582e-10	-8.63254308e-10	0.426733633287797	-0.00488314263956851	0.0034657472088637	0.0368409327957814
1.2	0.00029	-3.68314595e-10	-8.61050685e-10	0.423708602118447	-0.00621557542426158	0.00382485350991201	0.0363346079274311
1.2	0.000285	-3.60018587e-10	-8.64858796e-10	0.42586058808769	-0.00524430806118484	0.000853216934421199	0.0370869388975676
1.2	0.00028	-3.51671273e-10	-8.63696414e-10	0.426140912862164	-0.00574156274980451	0.00210829870857095	0.0369976556531981
1.2	0.000275	-3.44362469e-10	-8.64125856e-10	0.432722747846054	-0.00589193733633918	0.000617600691567308	0.0364549529902288
1.2	0.00027	-3.36841061e-10	-8.66550858e-10	0.428826771616163	-0.00540413839932826	0.000372068351515177	0.0368013200218781
1.2	0.000265	-3.30123652e-10	-8.65393143e-10	0.427362493594959	-0.00598902090077542	0.000649775046944802	0.0372772147541874
1.2	0.00026	-3.20330665e-10	-8.62643264e-10	0.431171664087458	-0.00657854531082326	-0.00165825407338563	0.0367262209177009
1.2	0.000255	-3.13254494e-10	-8.60983064e-10	0.428248008367571	-0.00705283349168299	0.00252798498975129	0.036851170972288
1.2	0.00025	-3.05275469e-10	-8.62636977e-10	0.432134227699553	-0.00575446506752152	0.00241789980916963	0.0374120967149473
1.2	0.000245	-2.96234023e-10	-8.59969657e-10	0.426007335285223	-0.00492181472655514	0.00232329751216931	0.0376890552527654
1.2	0.00024	-2.87779557e-10	-8.63764711e-10	0.423267529217568	-0.00533467521500361	0.0028601861679515	0.0374336614211826
1.2	0.000235	-2.81540432e-10	-8.63343683e-10	0.421210049491194	-0.00654251480464303	0.00154343571862608	0.0375191983244694
1.2	0.00023	-2.73434333e-10	-8.64353918e-10	0.425589670182382	-0.00690231328995954	0.00212516955009585	0.0374898483376538
1.2	0.000225	-2.63894722e-10	-8.66507512e-10	0.429722130790346	-0.00564668152842186	-0.000402295617733862	0.0369543047417391
1.2	0.00022	-2.55551265e-10	-8.63992031e-10	0.43092498528377	-0.00502120112889546	0.00202070422328848	0.0362784647642004
1.2	0.000215	-2.48497971e-10	-8.63891829e-10	0.428213443584843	-0.00658147880555619	0.000715007489109624	0.0360340146241943
1.2	0.00021	-2.39563138e-10	-8.67172026e-10	0.433894756551647	-0.00653313801303905	-0.00284989466748564	0.0362588662031439
1.2	0.000205	-2.32172105e-10	-8.65003867e-10	0.434985078606221	-0.00650215276195939	-0.00276217405088439	0.0358141563445174
1.2	0.0002	-2.25620595e-10	-8.64491799e-10	0.436055755618879	-0.00613457104764894	-0.00265216851423229	0.0351820884004988
1.2	0.000195	-2.1851434e-10	-8.64892041e-10	0.435129244384652	-0.0061238816691688	-0.00517425352902904	0.0354683745078191
1.2	0.00019	-2.11536178e-10	-8.64657549e-10	0.429317854071951	-0.0063936524275876	-0.0032168599107456	0.0358290760806317
1.2	0.000185	-2.01816963e-10	-8.64628476e-10	0.432306964118926	-0.0054426764933375	-0.00412160749681796	0.0350452102137081
1.2	0.00018	-1.95259817e-10	-8.64566084e-10	0.429756958093456	-0.00709851561232091	-0.00541950386808493	0.0349763541007197
1.2	0.000175	-1.87546041e-10	-8.65071898e-10	0.430088342490272	-0.00647343924331314	-0.00565247195006939	0.0354457132448345
1.2	0.00017	-1.8008532e-10	-8.60731447e-10	0.430776575474377	-0.00582457292354264	-0.00464304728006581	0.0351959498633033
1.2	0.000165	-1.71905418e-10	-8.61896326e-10	0.430325351904411	-0.00491936832504871	-0.00434145107859506	0.0347751810399595
1.2	0.00016	-1.65526597e-10	-8.62716481e-10	0.429604698028975	-0.00645726571351921	-0.00262968414253607	0.034881503300789
1.2	0.000155	-1.57871972e-10	-8.62692653e-10	0.430475293065473	-0.0083951892950031	-0.00314576624746944	0.0350147828123327
1.2	0.00015	-1.49083834e-10	-8.62292449e-10	0.435716408191506	-0.00758116606424537	-0.00237463691584308	0.0347778444971512
1.2	0.000145	-1.40865961e-10	-8.57862199e-10	0.438926557844374	-0.00536440359572869	-0.00219557171260579	0.0339360744128128
1.2	0.00014	-1.34999992e-10	-8.62363325e-10	0.437502926256043	-0.00604183337565354	-0.00257196450762715	0.0338167602776084
1.2	0.000135	-1.27197862e-10	-8.58181024e-10	0.435358684548807	-0.00646259194435365	-0.00199156291753239	0.0342236020089918
1.2	0.00013	-1.19956429e-10	-8.5690087e-10	0.437577262420931	-0.00686727679503117	-0.000488736419562904	0.0333634201610227
1.2	0.000125	-1.13800321e-10	-8.56343809e-10	0.438693923716691	-0.00501309658961162	-0.00293867458267319	0.0327206190857535
1.2	0.00012	-1.06970818e-10	-8.55614981e-10	0.436836088438772	-0.00560875118976763	-0.00325594149748811	0.0324095442306364
1.2	0.000115	-9.9958856e-11	-8.61500061e-10	0.435415782074161	-0.00658095103623407	-0.00407136037726614	0.033210183862261
1.2	0.00011	-9.17931235e-11	-8.58366851e-10	0.42984376382615	-0.00516846447447942	-0.00286930744947312	0.0315238571816077
