# qdac_LB_set	qdac_bias_left_set	dmm1_curr	dmm2_curr	lockin1_conductance	lockin2_conductance	lockin3_conductance	lockin4_conductance
# "Left Barrier"	"DCbias_left"	"current_right"	"current_left"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 201	121
-0.84	-0.000175	1.14663458e-11	5.35230447e-11	0.00242406042138743	-0.00181471236263925	-0.000100520388322924	0.0326118247863385
-0.84	-0.00017	1.17962134e-11	5.21355048e-11	0.00249252959483605	-0.000931798836700507	-0.000701099966004827	0.032354169476966
-0.84	-0.000165	1.03599273e-11	5.23398887e-11	0.000808550872143256	-0.00202704360709447	-0.00122768443127006	0.0323190386395976
-0.84	-0.00016	1.05571315e-11	5.10872522e-11	-0.000730738149086361	-0.000824511875715062	-0.000613376785695672	0.0315963229080358
-0.84	-0.000155	8.61288218e-12	5.0288033e-11	0.00034324013100543	-0.00077171709023825	0.000374709419612883	0.0306879964724078
-0.84	-0.00015	1.04250678e-11	5.65829541e-11	0.00166726870722357	-0.000550910389346909	-4.73849049562041e-05	0.0307619744083151
-0.84	-0.000145	1.09256418e-11	5.63743411e-11	0.00151939931567375	-0.00183855153578567	-0.000506944886103785	0.0308392666255209
-0.84	-0.00014	9.37360554e-12	5.56006819e-11	0.00260886220981566	-0.00140562359575147	0.000259407710789933	0.0309120058077048
-0.84	-0.000135	1.05342925e-11	5.46375731e-11	0.00275218864974759	-0.00135899984795292	-6.4578482809174e-05	0.030581693353298
-0.84	-0.00013	1.0556352e-11	5.36201545e-11	0.00348006670992994	-0.00117776315114244	-0.000808087535883809	0.0304673807204236
-0.84	-0.000125	1.00615424e-11	5.31063871e-11	0.00252359705327131	-0.00184635886323926	-0.00136660815108495	0.0303411946463089
-0.84	-0.00012	9.34834383e-12	5.21916977e-11	0.00158340295959459	-0.00125637470629216	-0.000935130636489647	0.0305529312960989
-0.84	-0.000115	7.87882355e-12	5.19482779e-11	0.00215810983739192	-0.00136643698497718	8.33346883411167e-05	0.0312215875955321
-0.84	-0.00011	7.90988074e-12	5.09667884e-11	0.00343568179415567	-0.000136460461901988	0.000455925724546662	0.0318291074329316
-0.84	-0.000105	8.26876245e-12	5.09305067e-11	0.00361060585459517	-0.000303357191260338	0.000270472940973991	0.0321299003587716
-0.84	-0.0001	8.40824289e-12	4.99828916e-11	0.00333971632112644	-0.000167409298327541	-0.000677692083544228	0.032028355366618
