# qdac_RB_set	qdac_bias_right_set	lockin4_conductance
# "Right Barrier"	"DCbias_right"	"Conductance dIR/dVR"
# 19	101
-0.839666666666667	4.8e-05	0.0192071146750272
-0.839666666666667	5.4e-05	0.020277962593951
-0.839666666666667	6e-05	0.0206744184825224
-0.839666666666667	6.6e-05	0.0217970848648376
-0.839666666666667	7.2e-05	0.0210730401391107
-0.839666666666667	7.8e-05	0.0205076023797693
-0.839666666666667	8.4e-05	0.019740050872516
-0.839666666666667	9e-05	0.0195136898189876
-0.839666666666667	9.6e-05	0.0199811976687115
-0.839666666666667	0.000102	0.0211243991974712
-0.839666666666667	0.000108	0.0221134948383349
-0.839666666666667	0.000114	0.0219155389824722
-0.839666666666667	0.00012	0.0223029804080695
-0.839666666666667	0.000126	0.0214185198072388
-0.839666666666667	0.000132	0.0214602286182395
-0.839666666666667	0.000138	0.0216678087430783
-0.839666666666667	0.000144	0.0235381997368775
-0.839666666666667	0.00015	0.0254295524666346
-0.839666666666667	0.000156	0.0277129939996859
-0.839666666666667	0.000162	0.0296278174233815
-0.839666666666667	0.000168	0.0305648484901098
-0.839666666666667	0.000174	0.0314852917428215
-0.839666666666667	0.00018	0.0314148140379576
-0.839666666666667	0.000186	0.0325463595229368
-0.839666666666667	0.000192	0.0325199519174603
-0.839666666666667	0.000198	0.0341825535920182
-0.839666666666667	0.000204	0.0343437775295686
-0.839666666666667	0.00021	0.0351053184823443
-0.839666666666667	0.000216	0.0350271238621309
-0.839666666666667	0.000222	0.0345182558571778
-0.839666666666667	0.000228	0.0350035246468953
-0.839666666666667	0.000234	0.0353008310136105
-0.839666666666667	0.00024	0.0360754157975285
-0.839666666666667	0.000246	0.0358177686921528
-0.839666666666667	0.000252	0.0360749317814467
-0.839666666666667	0.000258	0.0350766576035446
-0.839666666666667	0.000264	0.0352177880252944
-0.839666666666667	0.00027	0.0342178922555168
-0.839666666666667	0.000276	0.0344497661734082
-0.839666666666667	0.000282	0.0332842766503656
-0.839666666666667	0.000288	0.0334056963930574
-0.839666666666667	0.000294	0.0324789828048497
-0.839666666666667	0.0003	0.0329181086999214

-0.839333333333333	-0.0003	0.0493654960683786
-0.839333333333333	-0.000294	0.0489268678603678
-0.839333333333333	-0.000288	0.0482338712799759
-0.839333333333333	-0.000282	0.0474757758672803
-0.839333333333333	-0.000276	0.0468899410557654
-0.839333333333333	-0.00027	0.045955324603403
-0.839333333333333	-0.000264	0.0454764492044361
-0.839333333333333	-0.000258	0.0444992037594503
-0.839333333333333	-0.000252	0.0442191961939718
-0.839333333333333	-0.000246	0.043303541147659
-0.839333333333333	-0.00024	0.0435072819570125
-0.839333333333333	-0.000234	0.0426215074005634
-0.839333333333333	-0.000228	0.0434942873484418
-0.839333333333333	-0.000222	0.0432863189156499
-0.839333333333333	-0.000216	0.0446823260192863
-0.839333333333333	-0.00021	0.045271073132228
-0.839333333333333	-0.000204	0.0468857681256393
-0.839333333333333	-0.000198	0.0488893771028851
-0.839333333333333	-0.000192	0.0488973674730508
-0.839333333333333	-0.000186	0.0497923766231901
-0.839333333333333	-0.00018	0.0490084287195868
-0.839333333333333	-0.000174	0.0492104741043818
-0.839333333333333	-0.000168	0.0469928642644208
-0.839333333333333	-0.000162	0.0466207349848894
-0.839333333333333	-0.000156	0.0439611963303564
-0.839333333333333	-0.00015	0.0432170580876544
-0.839333333333333	-0.000144	0.040875140816035
-0.839333333333333	-0.000138	0.0398981387473625
-0.839333333333333	-0.000132	0.038299112758376
-0.839333333333333	-0.000126	0.0373747563570263
-0.839333333333333	-0.00012	0.0363715080215712
-0.839333333333333	-0.000114	0.0358974837272517
-0.839333333333333	-0.000108	0.0351553362421887
-0.839333333333333	-0.000102	0.0342775657315824
-0.839333333333333	-9.6e-05	0.0352482263639229
-0.839333333333333	-9e-05	0.0355675103563472
-0.839333333333333	-8.4e-05	0.0386914832214229
-0.839333333333333	-7.8e-05	0.0394061921729462
-0.839333333333333	-7.2e-05	0.0416119094285378
-0.839333333333333	-6.6e-05	0.0424902979496126
-0.839333333333333	-6e-05	0.0415225414137625
-0.839333333333333	-5.4e-05	0.0387103789997259
-0.839333333333333	-4.8e-05	0.0364504272999837
-0.839333333333333	-4.2e-05	0.032821381994079
-0.839333333333333	-3.6e-05	0.0307466608963259
-0.839333333333333	-3e-05	0.0302880676985095
-0.839333333333333	-2.4e-05	0.0300968648283011
-0.839333333333333	-1.8e-05	0.0306345823950549
-0.839333333333333	-1.2e-05	0.0306099604566925
-0.839333333333333	-5.99999999999998e-06	0.0305471422420191
-0.839333333333333	0	0.0289604272233882
-0.839333333333333	5.99999999999998e-06	0.0286999361785281
-0.839333333333333	1.2e-05	0.0269662469935742
-0.839333333333333	1.8e-05	0.0263201863279696
-0.839333333333333	2.4e-05	0.0252070990935875
-0.839333333333333	3e-05	0.0242395968708339
-0.839333333333333	3.6e-05	0.0232316642439242
-0.839333333333333	4.2e-05	0.0225503278093113
-0.839333333333333	4.8e-05	0.0221016200302316
-0.839333333333333	5.4e-05	0.0223697910733951
-0.839333333333333	6e-05	0.0231298266542952
-0.839333333333333	6.6e-05	0.0228351591334858
-0.839333333333333	7.2e-05	0.0231463816546735
-0.839333333333333	7.8e-05	0.0225360971814479
-0.839333333333333	8.4e-05	0.0225213565588842
-0.839333333333333	9e-05	0.0224792102187681
-0.839333333333333	9.6e-05	0.0230736096576768
-0.839333333333333	0.000102	0.0231762211266672
-0.839333333333333	0.000108	0.0235097029309676
-0.839333333333333	0.000114	0.0240015674701136
-0.839333333333333	0.00012	0.0239399196439327
-0.839333333333333	0.000126	0.0243250517393202
-0.839333333333333	0.000132	0.0239396079056771
-0.839333333333333	0.000138	0.0257749760757619
-0.839333333333333	0.000144	0.0260200223484419
-0.839333333333333	0.00015	0.0285121815825956
-0.839333333333333	0.000156	0.0299343611179827
-0.839333333333333	0.000162	0.0320144583541002
-0.839333333333333	0.000168	0.0326907796144644
-0.839333333333333	0.000174	0.0336725507478161
-0.839333333333333	0.00018	0.0338948947389367
-0.839333333333333	0.000186	0.0339718560747579
