# qdac_Pg_set	qdac_bias_right_set	lockin1_conductance_7_0	lockin2_conductance_7_1	lockin3_conductance_7_2	lockin4_conductance_7_3
# "Plunger"	"DCbias_right"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 81	101
-1.5	0.000174	0.422534930810391	-0.00791584081908664	-0.0282604602594125	0.125518831244211
-1.5	0.00018	0.420907323234284	-0.00844025750811051	-0.0286130019174895	0.130142089911665
-1.5	0.000186	0.420178575063403	-0.00734939947763352	-0.0288578102845968	0.132367974515741
-1.5	0.000192	0.419556058926768	-0.00709501469725878	-0.0288909421607991	0.13499809208638
-1.5	0.000198	0.417899574460996	-0.00583410216652964	-0.0282075657473848	0.134962597552579
-1.5	0.000204	0.416764711957234	-0.00706729929139302	-0.0268823562918044	0.13367778295567
-1.5	0.00021	0.416428777266638	-0.0062422339243852	-0.0246982693720738	0.13064017282954
-1.5	0.000216	0.415577783506131	-0.00705285741895005	-0.0232212592593925	0.127968139990042
-1.5	0.000222	0.414155858300283	-0.00574099738059197	-0.0215190926647606	0.126637680187896
-1.5	0.000228	0.413820929906498	-0.00665669617873586	-0.0207988708479347	0.127273125307704
-1.5	0.000234	0.414453246702269	-0.00576646087976275	-0.0203217578711893	0.12910924821684
-1.5	0.00024	0.414843741260344	-0.00610681462320841	-0.0196416560885364	0.129714974185477
-1.5	0.000246	0.414952904709549	-0.00518620319584344	-0.0195991173396433	0.12974188221221
-1.5	0.000252	0.413617435221748	-0.00583654002296945	-0.0189664847099612	0.128796075957762
-1.5	0.000258	0.412545445621273	-0.00631057115559725	-0.018028940913397	0.131199947323077
-1.5	0.000264	0.412118154871318	-0.00673287133013998	-0.0173130561019359	0.131960427269287
-1.5	0.00027	0.412162739081733	-0.00533816690098037	-0.0162348741046402	0.131573115735608
-1.5	0.000276	0.412227974644968	-0.0058459564655805	-0.0147958729490783	0.131318769239143
-1.5	0.000282	0.412038524612733	-0.00528742380126698	-0.0136191826836432	0.131307984152064
-1.5	0.000288	0.412465990360616	-0.00591424994378706	-0.0123604475431423	0.130952087194114
-1.5	0.000294	0.4124014985973	-0.00450513269677338	-0.0121095903395274	0.131646817482504
-1.5	0.0003	0.411583057011804	-0.00489753153015552	-0.0115864711971887	0.133779869387655

-1.505	-0.0003	0.409063371752194	0.00433969446827778	0.00287298508505376	0.124971274744278
-1.505	-0.000294	0.409061052829984	0.00511995345619238	0.00468065699216699	0.125033458543308
-1.505	-0.000288	0.408558463360765	0.00448583562073818	0.0054411287348496	0.125041191866181
-1.505	-0.000282	0.408761520550695	0.00441642029094765	0.00624197619260432	0.124965160279084
-1.505	-0.000276	0.409544259763575	0.00415260744598536	0.00708328618765828	0.124183252353343
-1.505	-0.00027	0.409463579446951	0.00298122871343788	0.00838567577575612	0.124235646441765
-1.505	-0.000264	0.409723296596947	0.00319828680828009	0.00916536939422329	0.123689752551342
-1.505	-0.000258	0.410459614027207	0.00308095009869148	0.01037929883918	0.124401294888342
-1.505	-0.000252	0.410477990219044	0.00437775059661725	0.0118204097046975	0.125662340728735
-1.505	-0.000246	0.410125954474105	0.00346358246612334	0.0126338210785716	0.126829777257585
-1.505	-0.00024	0.410565058476818	0.00466100374014728	0.0134618322456029	0.125501876998627
-1.505	-0.000234	0.41086730345889	0.00390458666023263	0.0142326679544773	0.122954091433781
-1.505	-0.000228	0.41069071678443	0.00401155803629662	0.0146636626490371	0.120149027926975
-1.505	-0.000222	0.411315420583083	0.00318453233474587	0.0156631906199142	0.11872094448531
-1.505	-0.000216	0.410932189002779	0.00439641769960745	0.0172047444515048	0.119817763846519
-1.505	-0.00021	0.41123342766455	0.00277109946988594	0.0191211908325294	0.121862117704131
-1.505	-0.000204	0.411206563391997	0.00189913783961465	0.0210957410535721	0.12349838834244
-1.505	-0.000198	0.411612283944305	0.00308938346847822	0.0222261311886055	0.123635422398593
-1.505	-0.000192	0.412614225162685	0.00219662058561418	0.0247385903957128	0.123232458268014
-1.505	-0.000186	0.41262826983869	0.00276049024820848	0.0264116490115699	0.121699663218733
-1.505	-0.00018	0.413149279260972	0.0019567306594679	0.0281845298516545	0.119879510115494
-1.505	-0.000174	0.413918761382483	0.00256417187826129	0.0286866681151412	0.115018377912924
-1.505	-0.000168	0.414994294961134	0.00221345245972794	0.0288817731948554	0.112456744557662
-1.505	-0.000162	0.416313882153747	0.00272143429798124	0.0282815874374721	0.102787585228165
-1.505	-0.000156	0.416931848015393	0.00053140044519767	0.0282901001095079	0.0970859927967552
-1.505	-0.00015	0.417669784282193	0.000338143025954302	0.0266235825497672	0.0889593854120982
-1.505	-0.000144	0.41794402738773	-0.00127981583065451	0.0252097461427855	0.0843028526691187
-1.505	-0.000138	0.417766609414387	-0.000921879577663191	0.0248316965494531	0.0820939824699829
-1.505	-0.000132	0.419258145484019	-0.00133977019575371	0.0261248706846409	0.084402067819661
-1.505	-0.000126	0.420649356181018	-0.000950999690629925	0.0272398857807625	0.0890762220389161
-1.505	-0.00012	0.421754729231897	-0.00100109521325841	0.0291972835014202	0.091209306761464
-1.505	-0.000114	0.422828293931174	-0.000196143465077989	0.0300323894725085	0.0919714329096604
-1.505	-0.000108	0.424724325497148	-0.00140619494698043	0.0298805860798025	0.0916230559791222
-1.505	-0.000102	0.425399870140197	-0.00077091313084707	0.0297975594990103	0.0918073376883184
-1.505	-9.6e-05	0.426677367066023	-0.00152846932425878	0.028995763150342	0.0907471832517523
-1.505	-9e-05	0.428348858790364	-0.000411772263315382	0.0282123648929159	0.0903192198121103
-1.505	-8.4e-05	0.429935994912734	-0.0015297073943628	0.0273846176105457	0.0904225805484717
-1.505	-7.8e-05	0.430131395344321	-0.00147286572276758	0.0273464295415199	0.091049559484619
-1.505	-7.2e-05	0.431359188982754	-0.00186138627240768	0.0272365687643285	0.0918828989326619
-1.505	-6.6e-05	0.432770438492846	-0.00165719238209612	0.0275781093056698	0.0919025439816243
-1.505	-6e-05	0.432911016536571	-0.0026273472937729	0.0274051677981209	0.0918689308235361
-1.505	-5.4e-05	0.433294423114804	-0.00250774517563573	0.0268229590070997	0.0909923908631262
-1.505	-4.8e-05	0.435282073237029	-0.00236952979115286	0.0254981597349181	0.0897603531890325
-1.505	-4.2e-05	0.43722413282854	-0.00182124675443516	0.0232035803565484	0.087976241531576
-1.505	-3.6e-05	0.438106191117241	-0.00331129984358764	0.0213030832718986	0.0860628127309666
-1.505	-3e-05	0.439009644582172	-0.00266335882900323	0.0191781270173111	0.0850842629054505
-1.505	-2.4e-05	0.439892446670792	-0.00481871103772106	0.0177069141624716	0.0841848675273748
-1.505	-1.8e-05	0.440885068533063	-0.00501775285414972	0.0164828025990695	0.0830915921513896
-1.505	-1.2e-05	0.44156078817404	-0.00594822474789571	0.0145819281458337	0.0839126479757329
-1.505	-5.99999999999998e-06	0.442221281844273	-0.0056449936238415	0.0135458172884034	0.0833676017987639
-1.505	0	0.442698188359167	-0.00728800186536949	0.0122145425880868	0.0828495566229308
-1.505	5.99999999999998e-06	0.442781318858192	-0.00738183882854482	0.0105426851253581	0.0805567465018025
-1.505	1.2e-05	0.442899801686997	-0.00729095108384244	0.00779631612308655	0.0772242473575192
-1.505	1.8e-05	0.441758201222738	-0.00713175413695857	0.00635963113604275	0.0754839268738932
-1.505	2.4e-05	0.442195730150139	-0.0075935734272182	0.00468526745305274	0.0774897399042395
-1.505	3e-05	0.442718402193678	-0.00822128317303554	0.00403802477580462	0.0814249296604789
-1.505	3.6e-05	0.442466648060145	-0.00836755934426656	0.00448594500289956	0.083006186505475
-1.505	4.2e-05	0.442610945079975	-0.00958728673108374	0.00366727815466876	0.0867757059392216
-1.505	4.8e-05	0.442520814123561	-0.00990220021884183	0.00305425775843159	0.0890185994798445
-1.505	5.4e-05	0.442270416329675	-0.0104570463603578	0.001347853286117	0.0907630382049824
-1.505	6e-05	0.442407406633998	-0.0101672675412676	-0.00105909736195682	0.0897813819219489
-1.505	6.6e-05	0.441774739818881	-0.0107816907645877	-0.0038170743824467	0.0867336320658651
-1.505	7.2e-05	0.440646002735888	-0.0115582751932208	-0.0064482560360924	0.0811772007893574
-1.505	7.8e-05	0.439778470402728	-0.0122196821856275	-0.0081364634075	0.0764266485514374
-1.505	8.4e-05	0.439893102971747	-0.0117440909889863	-0.010488276353909	0.0747479047955052
-1.505	9e-05	0.438409354920649	-0.0121453091062776	-0.0113088577330304	0.0752964457327769
-1.505	9.6e-05	0.437626221903707	-0.0111998795347524	-0.0136493133860145	0.0784577726291017
-1.505	0.000102	0.437024663401502	-0.0112144307893567	-0.0145810818006524	0.0813956042851839
-1.505	0.000108	0.435618839249998	-0.0100900765024612	-0.0157265160941525	0.0828475002375451
-1.505	0.000114	0.434444905416862	-0.0103979218473902	-0.0167100619543117	0.082525391449705
-1.505	0.00012	0.433488029664944	-0.00991529053718541	-0.0167467843029387	0.082159961830788
-1.505	0.000126	0.431391128594548	-0.0105407169290626	-0.0175577824316587	0.0839755099422374
-1.505	0.000132	0.430206869085002	-0.00929456006108828	-0.0181578875211045	0.0868471434736615
-1.505	0.000138	0.429043260928276	-0.0091516740554252	-0.0199102865372005	0.0906640965092563
-1.505	0.000144	0.428650009929681	-0.00975605393929448	-0.021890752969341	0.0961104892647037
-1.505	0.00015	0.428244726895683	-0.00926055449328345	-0.0239787257257759	0.102406639740929
-1.505	0.000156	0.427313446599125	-0.00853033992620636	-0.0255203533902843	0.106974977591822
-1.505	0.000162	0.425114907554187	-0.0087262387126647	-0.027189096876692	0.112397634401102
-1.505	0.000168	0.422986504390307	-0.00750998762985873	-0.0283852052234747	0.114459544107243
-1.505	0.000174	0.420797240963741	-0.00659216955089934	-0.0282217280126012	0.116353388018245
-1.505	0.00018	0.419077533551845	-0.00590662531882143	-0.0285201692209144	0.118299188487614
-1.505	0.000186	0.41795697824447	-0.00717144552956203	-0.0280924901752209	0.119357953771834
-1.505	0.000192	0.41736158890077	-0.0062328530310177	-0.0274307987886309	0.120111466068656
-1.505	0.000198	0.416759942899601	-0.00683162570831866	-0.0268651367963401	0.12116348246969
-1.505	0.000204	0.416627852913102	-0.00665126330017075	-0.0258166014846293	0.120766096833804
-1.505	0.00021	0.415628143094479	-0.00633330556818554	-0.0250879189508907	0.119258765965599
-1.505	0.000216	0.413227465680947	-0.00558259994944385	-0.0233325830227869	0.11584115104009
-1.505	0.000222	0.410983073608401	-0.00581212796044449	-0.0222767737932335	0.112795818530219
-1.505	0.000228	0.409280298573221	-0.00548541007928631	-0.0212439908901949	0.110780604096748
-1.505	0.000234	0.408942657523633	-0.00576619836243449	-0.0206653192482029	0.111819352434396
