# i3d_field_set	qdac_bias_left_set	dmm1_curr_3_4	dmm2_curr_3_5	lockin1_conductance_3_0	lockin2_conductance_3_1	lockin3_conductance_3_2	lockin4_conductance_3_3
# "field"	"DCbias_left"	"current_right"	"current_left"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 111	201
-0.1	-8.8e-05	2.11132819e-11	6.49572976e-11	0.0122252470065231	-0.000174927788374557	-0.000255357192856131	0.0011815643544749
-0.1	-9.19999999999999e-05	2.41117482e-11	6.74216925e-11	0.0109526134864065	-0.000249766244135597	0.000438009000913531	0.00106681940549729
-0.1	-9.6e-05	1.99975062e-11	6.84930333e-11	0.0115006868169995	-0.000472558189723951	-0.000145641081143249	0.00110495919412146
-0.1	-0.0001	2.46858313e-11	7.04605684e-11	0.0119047228937473	0.000244364941130217	0.000527067370756084	0.00131846458851465
-0.1	-0.000104	1.97817675e-11	7.31631773e-11	0.0112559960362854	3.54411560220769e-05	-0.000208477764116177	0.00125837170104537
-0.1	-0.000108	1.98401295e-11	7.57630441e-11	0.0125008956921306	0.000497438886787909	-0.000581292798872449	0.00108854527979765
-0.1	-0.000112	2.46332409e-11	8.01168839e-11	0.0170563907020518	0.000499877042298	0.000362492749199854	0.00112019964229117
-0.1	-0.000116	1.95881763e-11	8.36016622e-11	0.0238223064035576	0.000823008980964471	-8.17089201928963e-05	0.00112720882129485
-0.1	-0.00012	2.38917013e-11	8.76395928e-11	0.031817162893674	0.000419672736613186	-0.000213822731003967	0.000979872326295041
-0.1	-0.000124	2.02096796e-11	9.40544448e-11	0.0335561844628123	0.00107685086679347	-5.62964535280068e-05	0.00112889946039988
-0.1	-0.000128	2.26008085e-11	1.00531534e-10	0.0327160578467347	0.000741996827725785	-0.00065318426882404	0.00112504177135362
-0.1	-0.000132	2.10141406e-11	1.09619715e-10	0.0431283545698442	0.00115400071644321	0.000550252643261597	0.00112170646794153
