# qdac_RB_set	qdac_bias_right_set	dmm1_curr	dmm2_curr	lockin1_conductance	lockin2_conductance	lockin3_conductance	lockin4_conductance
# "Right Barrier"	"DCbias_right"	"current_right"	"current_left"	"Conductance dIL/dVL"	"Conductance dIR/dVL"	"Conductance dIL/dVR"	"Conductance dIR/dVR"
# 201	121
-0.87	-0.00022	2.04997346e-10	-4.96942804e-10	0.232238138814969	0.00209737125299669	0.00644340014895122	0.0196299850045647
-0.87	-0.000215	2.01477139e-10	-4.97695072e-10	0.233086376120861	0.00022270792208782	0.00598457041172057	0.0201677887111712
-0.87	-0.00021	1.99075336e-10	-4.9622499e-10	0.229526684619704	0.000480390384594545	0.00535495092032512	0.0210630015852072
-0.87	-0.000205	1.94329884e-10	-4.94069736e-10	0.232303615015623	0.000862382054262739	0.00574330876403247	0.021230517734169
-0.87	-0.0002	1.89483602e-10	-4.93278315e-10	0.233590890712926	0.00111457782299652	0.00549188824185196	0.0204381337263483
-0.87	-0.000195	1.84870453e-10	-4.91435716e-10	0.232932890976925	0.000431106683180268	0.00586556733216242	0.0192470829413661
-0.87	-0.00019	1.81022022e-10	-4.90141215e-10	0.233947104882221	0.00100208785701304	0.00657732774993616	0.0187930195350886
-0.87	-0.000185	1.77018431e-10	-4.88695637e-10	0.233133454232623	0.000803555180684092	0.00631608470350932	0.0197343739347933
-0.87	-0.00018	1.72076914e-10	-4.90133855e-10	0.237476410001518	-4.36408869224212e-05	0.00607133376297049	0.019217134087211
-0.87	-0.000175	1.67672417e-10	-4.86712592e-10	0.231827758568163	-0.000352309455966337	0.00576494251763823	0.0181759697709182
-0.87	-0.00017	1.64031411e-10	-4.85978566e-10	0.23364470677109	0.00100232738698928	0.00559592236319397	0.0180667406770535
-0.87	-0.000165	1.60774535e-10	-4.86730028e-10	0.237584042113148	-1.24958260928217e-05	0.00576848103306056	0.0193923849270837
-0.87	-0.00016	1.56630468e-10	-4.84405635e-10	0.234595391476842	0.000969479903654894	0.00607910947198634	0.0206673387177169
-0.87	-0.000155	1.51312997e-10	-4.82085735e-10	0.239358375003827	0.00132115795498983	0.00650731902166762	0.0213211381759958
-0.87	-0.00015	1.46054658e-10	-4.81826427e-10	0.239869911931545	-0.000177159837436858	0.0064913068305676	0.0209358666206487
